GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2013-12-31,21300462,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,29:35:00,4,10,0.4,1,5,0.2,9
2013-12-29,21300448,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,48:12:00,10,23,0.435,5,10,0.5,29
2013-12-27,21300435,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,33:33:00,5,17,0.294,1,6,0.167,14
2013-12-25,21300422,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:29:00,5,17,0.294,2,6,0.333,15
2013-12-23,21300415,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,35:14:00,5,14,0.357,2,3,0.667,14
2013-12-21,21300402,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:46:00,5,15,0.333,4,9,0.444,18
2013-12-19,21300382,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,40:22:00,12,28,0.429,6,16,0.375,30
2013-12-17,21300368,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:40:00,11,19,0.579,2,7,0.286,28
2013-12-15,21300355,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:22:00,8,17,0.471,4,7,0.571,30
2013-12-13,21300341,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:07:00,5,12,0.417,1,5,0.2,20
2013-12-11,21300326,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:56:00,13,25,0.52,6,11,0.545,33
2013-12-09,21300304,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:40:00,14,32,0.438,5,16,0.313,43
2013-12-07,21300293,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:21:00,7,16,0.438,2,7,0.286,22
2013-12-06,21300285,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,32:28:00,5,14,0.357,1,5,0.2,22
2013-12-03,21300268,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:25:00,8,15,0.533,3,7,0.429,27
2013-12-01,21300251,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,40:10:00,14,24,0.583,5,8,0.625,36
2013-11-29,21300235,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,44:42:00,13,26,0.5,4,10,0.4,32
2013-11-27,21300225,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:24:00,9,19,0.474,6,10,0.6,29
2013-11-26,21300214,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,42:05:00,7,20,0.35,2,5,0.4,16
